,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
69,362082784480071251127142147135575701315096287196,2,1,1,0.0001221001221001221,0.012122708751922236,F10 > 83.78
70,370426672190153835572931429726512227712743479982,2,1,1,0.0002442002442002442,0.0015153385939902795,F6 > 37.32
71,409164598901697655557419026760979408395144841040,2,0,2,0.0,0.13638047345912516,F6 <= 39.22
72,591174676290483182514100143311777782859673574608,3,1,2,0.0008547008547008547,0.05429963295131835,F10 > 83.16
73,434587488681233909198091422195087916983215445367,3,1,2,0.001343101343101343,0.009092031563941677,F4 > 8.5
74,972524571743249020034538267427098334752052898185,2,1,1,0.0001221001221001221,0.0015153385939902795,F3 > 0.41
75,823831091926294636724168956969224262788240113460,2,1,1,0.0003663003663003663,0.0015153385939902795,F9 > 31.64
76,844612389754541324367669315762434143305450748639,2,1,1,0.0006105006105006105,0.0007576692969951397,F9 <= 31.64
77,467749970573869816559931685319983354424742796934,2,1,1,0.0002442002442002442,0.018941732424878493,F7 <= 3.76
78,479161992840143292502859244217745540202084023684,2,1,1,0.0001221001221001221,0.0015153385939902795,F7 <= -1.48
79,522727736873909221722453715282738268673671157937,2,0,2,0.0,0.15911055236897934,F7 > -1.13
80,860494175513463379062798581869639276095269762810,3,1,2,0.0002442002442002442,0.06061354375961118,F8 > 36.51
81,552909671464319219167118184182214027755414074922,2,1,1,0.0001221001221001221,0.003030677187980559,F6 > 39.26
82,589857817225892218494304773579272907061741807421,3,1,2,0.0009768009768009768,0.02121474031586391,F2 > 3.12
83,975587293853803843746332841387890619772807257183,2,1,1,0.0003663003663003663,0.003030677187980559,F2 > 3.57
84,856325454403222686671351219739950686534772107448,2,1,1,0.0002442002442002442,0.006819023672956257,F2 <= 3.12
85,651299195311296358204503764771090600822491397831,2,1,1,0.0002442002442002442,0.0015153385939902795,F6 > 45.28
86,66080880196096162057877250928474887761477194261,2,1,1,0.0003663003663003663,0.0015153385939902795,F9 <= 34.48
87,81530042399389778837144621112219185188633845496,2,1,1,0.0002442002442002442,0.0007576692969951397,F6 <= 45.28
88,768932241079058606590818719551092857111590343099,2,1,1,0.0001221001221001221,0.018184063127883354,F10 <= 83.78
89,78104442263081395395597963921710167412943552245,2,1,1,0.0002442002442002442,0.0007576692969951397,F3 > 0.44
90,801361415368394278256487174119223082630347559189,2,1,1,0.0002442002442002442,0.0007576692969951397,F6 <= 37.32
91,808836248705653710397195019426943804750256601071,2,1,1,0.0,0.004546015781970838,F3 <= 0.44
